"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"48","GB47304",1198,1293,1023,1116,1327,619,1459,650,1225,2078,861,1524,-0.81562187393461,7.24964852791941,-3.15048403077775,0.00728936461643084,0.681615499910635,-4.16409272387606
"49","GB47415",734,869,993,1074,1306,469,1124,586,823,1319,544,1031,-0.626828047394032,6.8512452450043,-3.28091674000286,0.0056408699223212,0.681615499910635,-4.10663165552623
"50","GB47540",1503,1770,1850,1909,1656,999,2167,1190,1454,2404,960,1686,-0.607081298022883,7.71803173581897,-3.55244547328874,0.00330964181029738,0.681615499910635,-4.12738999192092
"51","GB47788",67,78,134,109,108,45,66,36,24,61,11,38,0.668202186380858,2.85632689820051,3.70885750186978,0.00243712960023918,0.681615499910635,-4.22528938343509
"52","GB48350",581,610,717,799,640,354,804,424,693,877,364,755,-0.681865875851232,6.35198497312034,-3.6165965252745,0.00291885162974763,0.681615499910635,-3.99440869929527
"53","GB48385",284,387,532,532,652,140,362,146,65,270,61,167,0.697390044255878,4.97367650806842,3.0033468550075,0.00973052417622779,0.681615499910635,-4.12524062266708
"54","GB48475",30,21,33,34,77,10,30,0,1,22,3,2,2.15917119202163,0.544425401348978,3.11311395611756,0.00784466644739379,0.681615499910635,-4.44945041698822
"55","GB48913",98,114,222,141,153,77,90,37,24,64,22,77,0.833648800675094,3.35504875855666,4.03914631500955,0.00128340493836682,0.681615499910635,-4.11769913521599
"56","GB49280",71,70,152,53,57,43,52,26,13,19,13,27,0.974533385614724,2.39974190507,3.01062869429359,0.00959257123783492,0.681615499910635,-4.35634322080402
"57","GB49305",196,198,269,205,157,99,277,141,131,247,107,227,-0.583914724247085,4.58080684790383,-3.58091024372288,0.00313010309736469,0.681615499910635,-3.99245774175938
"58","GB49535",407,439,1006,677,761,251,505,198,97,412,104,215,0.693070261059362,5.49516305032426,3.30661723333079,0.00536296762625062,0.681615499910635,-4.0429831988479
"59","GB49767",120,119,164,107,125,110,81,38,49,50,26,42,0.813803266265095,3.32666203053425,3.37977295339055,0.00464478091323972,0.681615499910635,-4.21288933285398
"60","GB49952",94,139,150,187,253,35,79,16,10,84,16,42,1.35410576728027,3.03389912841469,3.64661683461516,0.00275234666323008,0.681615499910635,-4.22251105689939
"61","GB49967",597,421,1058,831,601,273,463,300,129,325,105,272,0.658839399332204,5.6229809430591,3.45548343910543,0.00400300723781689,0.681615499910635,-4.00931378747365
"62","GB50142",261,333,503,472,345,206,261,139,90,136,75,177,0.723808573515709,4.83737093110216,4.44637234302952,0.000589624671978694,0.681615499910635,-3.83625014224192
"63","GB50160",668,487,1191,525,1085,368,524,249,248,246,100,237,0.845771078349808,5.73492539216001,3.37038581820094,0.00473124714263944,0.681615499910635,-4.03627238551151
"64","GB50173",71,61,93,85,67,34,45,25,18,63,13,26,0.592864037761717,2.52582084659111,3.04852577853028,0.00890528332476461,0.681615499910635,-4.33908803044071
"65","GB50202",1160,1000,1754,1101,1410,651,957,464,226,854,232,601,0.647700342722374,6.62111942547258,3.3408246631187,0.00501423851282235,0.681615499910635,-4.08421327307701
"66","GB50545",174,158,578,356,556,147,142,73,149,66,58,50,1.25469924987231,4.34106039637414,3.34590825495254,0.00496439092415731,0.681615499910635,-4.11118705812529
