"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"31","GB51370",72,44,24,27,22,142,87,150,67,148,98,107,-1.15941606953472,3.12669478244969,-3.16511815038595,0.00737161964263584,0.999604720956649,-4.12082268264765
"32","GB51748",193,347,126,119,143,368,500,322,295,421,373,274,-0.840576313599668,5.07995854118046,-3.07265561823318,0.00881447970995494,0.999604720956649,-3.89204332944277
"33","GB51790",94,129,77,21,82,121,84,186,67,139,183,182,-0.661258695653769,3.68537963263895,-3.37159635171561,0.00494572285763902,0.999604720956649,-3.96011334624541
"34","GB51943",364,405,200,156,221,316,171,204,82,255,366,239,0.420895087434787,4.88057113483224,3.17112354147247,0.00728651166365172,0.999604720956649,-3.85357304866739
"35","GB52708",381,219,113,121,165,348,514,516,361,409,323,413,-1.03308548144422,5.21841768794675,-3.19986030174538,0.00689265654604529,0.999604720956649,-3.85173291217266
"36","GB52845",278,112,57,113,98,256,434,336,261,295,268,317,-1.24694022795398,4.70689263243781,-3.20769481417471,0.00678902340697928,0.999604720956649,-3.88119700871132
"37","GB52877",14,25,11,10,9,15,16,32,18,27,50,26,-0.920587424131417,1.29732170154372,-4.24413613045658,0.000937388007805989,0.999604720956649,-4.25007903006107
"38","GB53420",83,82,46,60,55,89,110,127,71,101,149,109,-0.641433206650928,3.46402300938615,-3.23269739983466,0.00646861264796921,0.999604720956649,-4.03410239813335
"39","GB53472",39,41,25,9,12,52,39,54,30,72,105,47,-0.9782161179745,2.24221541415448,-3.87017483759335,0.00189893152459676,0.999604720956649,-4.14636747254626
"40","GB53723",34,53,29,18,23,48,42,47,29,49,69,59,-0.48434839861381,2.33977821099002,-3.3560094814768,0.00509687844253708,0.999604720956649,-4.19743743598117
"41","GB54259",307,454,272,178,278,379,217,237,121,286,377,336,0.322609443255655,5.12719666215944,3.40054188570723,0.00467689098944479,0.999604720956649,-3.76688638324908
"42","GB54586",2,13,3,5,3,7,12,15,7,10,15,15,-1.18666883520147,0.0282703937198568,-3.3758233482713,0.00490551458076898,0.999604720956649,-4.4314548517758
"43","GB54796",12,12,7,4,10,12,19,23,6,53,25,19,-1.10965453816512,0.843014237914453,-3.31469085581869,0.00552045118259358,0.999604720956649,-4.37880702289298
"44","GB55078",10,12,2,3,5,6,12,12,5,13,23,13,-1.02087886089649,0.13438164586433,-3.44507874197365,0.00429172616989526,0.999604720956649,-4.42012752156648
"45","GB55378",4676,5902,3179,2443,3209,5476,4802,6634,3338,6415,10679,5223,-0.503460060402944,9.2634655436761,-3.36923293070461,0.00496834880946595,0.999604720956649,-4.1283861415236
"46","GB55483",8844,8102,3937,3634,3886,11090,9618,12455,7537,12369,10841,9562,-0.765750305056951,9.97002237871033,-3.11788947607315,0.00807647937681343,0.999604720956649,-4.22253493480072
"47","GB55514",861,1214,567,337,524,992,777,1197,478,1202,1577,1001,-0.46079978829785,6.71363469282969,-3.55286049753668,0.00348688106828937,0.999604720956649,-3.84290783966797
"48","GB55574",1629,2008,1182,449,802,2270,1581,2516,937,2007,3032,2135,-0.632721831351953,7.61080033151689,-3.24062281739957,0.00637024362782147,0.999604720956649,-4.02024199607352
"49","GB55576",714,621,494,278,505,767,854,1004,393,825,1154,831,-0.533301602905676,6.39718856951695,-3.3777333826162,0.00488745398652083,0.999604720956649,-3.85677362753214
"50","GB55599",362,355,148,136,198,380,359,489,173,492,475,440,-0.621765385569493,5.28726629029488,-3.35568671013763,0.00510005722209063,0.999604720956649,-3.78820939973364
