"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"49","GB47318",62480,17311,85498,39628,23412,14649,5178,10246,25970,7874,15913,4250,1.92857454514204,11.186459352576,3.76627086103348,0.00220286542312479,0.906423473791415,-4.2573290869181
"50","GB47488",71,44,74,66,70,46,25,40,61,49,55,43,0.613064106312572,2.77880864531121,2.77951227739877,0.0151488946946921,0.906423473791415,-4.29903299470428
"51","GB47807",91,21,82,35,51,67,12,31,47,21,31,38,1.01767512400962,2.33484208462658,2.86249935643014,0.0128906682293369,0.906423473791415,-4.32577197412155
"52","GB47996",14,4,10,19,17,31,17,39,47,22,23,30,-0.866803320917258,1.39397660514373,-2.70172970546284,0.0176144898395839,0.906423473791415,-4.41003310959757
"53","GB48123",36,45,43,57,34,42,29,29,22,35,32,38,0.629201607268268,2.26128673592624,2.79704191027399,0.0146416796854346,0.906423473791415,-4.33975692975657
"54","GB48343",41,20,47,187,50,99,87,206,191,148,118,162,-1.1445324683761,3.60443582498433,-3.68305611620804,0.0025898715839198,0.906423473791415,-4.03139895125777
"55","GB48409",73,37,77,139,64,92,63,216,185,112,99,153,-0.628820448178091,3.69178845230596,-2.89615702378711,0.0120721377169095,0.906423473791415,-4.17281285161169
"56","GB48606",170,194,144,204,160,166,115,136,143,100,113,144,0.611454072248383,4.27260965313952,3.82663733681057,0.0019593598207066,0.906423473791415,-3.84701517727809
"57","GB48695",9,18,15,15,15,13,10,11,6,7,12,8,0.788466167674226,0.605401505004405,2.68399795804268,0.0182290946741325,0.906423473791415,-4.44818135628825
"58","GB48950",169,141,212,211,191,134,76,148,151,151,144,183,0.473616795052826,4.35386203536865,2.98434423884227,0.010162602326711,0.906423473791415,-4.04911484111131
