"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"22","GB47090",15,12,16,42,9,5,55,49,30,22,47,42,-1.21587527436692,1.84791721500013,-3.25121046395508,0.00589462797782829,0.99993823581748,-4.27591887770779
"23","GB47182",49,39,55,130,30,68,107,114,191,75,171,201,-1.052868238144,3.73817765273411,-4.42549899555553,0.000595569474050616,0.99993823581748,-3.69637305003962
"24","GB48650",9,8,8,14,4,7,14,22,23,11,15,21,-0.845861412987965,0.896358014989624,-3.79312420300675,0.00202512523361338,0.99993823581748,-4.31312757940614
"25","GB48832",50,158,14,70,68,37,139,1200,214,112,490,329,-2.37417902203826,4.25796117261245,-4.02660136104758,0.00128378082390465,0.99993823581748,-3.75176676545186
"26","GB49173",96,71,99,181,58,71,246,192,244,126,182,322,-0.990127454695934,4.40074716017536,-4.28458903984716,0.000779827881851073,0.99993823581748,-3.53594812896738
"27","GB50138",35,37,26,54,22,33,63,84,86,24,71,65,-0.685941968504916,2.80458415306018,-3.30218169130052,0.00532959880180796,0.99993823581748,-4.126667385653
"28","GB50233",8,3,8,16,4,8,14,18,30,7,19,16,-0.952574917583462,0.759093468852498,-3.21340425289257,0.00635202551573321,0.99993823581748,-4.37820070208756
"29","GB50832",288,221,321,341,154,238,131,276,302,176,248,234,0.406773146178789,5.17936937693652,3.45577831233984,0.00393434789458188,0.99993823581748,-3.61090395417378
"30","GB50973",1912,838,288,1134,827,354,2354,4318,4712,1964,2528,6853,-2.00395319651709,7.92933928190822,-4.3927976019947,0.000633899576871952,0.99993823581748,-3.66509440560924
"31","GB50977",23,20,23,33,9,14,22,52,97,20,44,60,-0.978234266387964,2.14954211958989,-3.90744119634409,0.00161924456441843,0.99993823581748,-4.13952681673856
"32","GB51370",23,21,37,65,38,40,53,76,120,42,127,239,-1.23927002209232,3.13827522112675,-3.49517038169466,0.00363995152534003,0.99993823581748,-4.03675860284153
"33","GB51511",154,148,197,292,80,149,162,343,461,153,422,349,-0.648499599689025,5.04180023685999,-4.01917740225685,0.00130244152658428,0.99993823581748,-3.448267594448
"34","GB51698",1522,1034,1048,2653,1311,1691,2884,4225,2749,1915,3129,2786,-0.783154047790585,8.29912100679641,-3.28486294679419,0.00551523214746979,0.99993823581748,-3.97400217853316
"35","GB51852",235,236,220,315,136,199,328,374,538,163,377,755,-0.612966440866757,5.46922956469225,-3.09947853056435,0.00795536848374987,0.99993823581748,-3.76234193997332
"36","GB52036",208,107,71,131,39,38,101,341,299,113,147,317,-1.0250692179673,4.28840639640937,-3.12639940371508,0.00754350189066807,0.99993823581748,-3.90868036606338
"37","GB52040",9,15,9,15,15,9,14,22,36,17,40,50,-1.03109634194434,1.4886312543235,-3.20805560350462,0.00641953377020714,0.99993823581748,-4.31501456035005
"38","GB52140",4,2,9,3,1,7,18,11,14,6,14,14,-1.43411465801665,0.136382256736856,-3.60419263477487,0.0029357767089102,0.99993823581748,-4.38810998713419
"39","GB52317",53,4,278,22,86,123,224,858,849,91,948,299,-2.8338397846108,4.45135888155153,-3.65461206306819,0.00265833255912523,0.99993823581748,-3.86039120396751
"40","GB52447",7,13,10,9,4,7,24,40,20,9,18,17,-1.04400111323109,0.988984567179378,-3.26081301483259,0.0057837856923779,0.99993823581748,-4.35578140622451
"41","GB52708",120,37,104,228,86,68,166,173,264,139,280,326,-0.982078831430999,4.44001581980683,-3.32348774296212,0.00510978199095572,0.99993823581748,-3.8132138256221
"42","GB52885",9,3,3,12,8,8,8,20,29,10,28,53,-1.47617153412932,0.880495997990089,-3.40230336218429,0.00437270397593448,0.99993823581748,-4.35482130796208
"43","GB52909",1,3,0,10,4,2,6,11,11,8,12,15,-1.80603369415876,-0.308352721581149,-3.24239553290884,0.00599824544897101,0.99993823581748,-4.42342030223687
"44","GB53042",54,30,58,93,14,29,66,89,111,44,102,103,-0.790558239811884,3.13630865953576,-3.3930315989219,0.00445355532219618,0.99993823581748,-4.05232075523957
"45","GB53536",21,21,20,34,20,17,26,68,56,30,47,48,-0.810050011159154,2.26185655898794,-4.16216805010217,0.000987191169357753,0.99993823581748,-4.08371896270256
"46","GB53703",1804,1306,1729,1807,840,1282,806,1604,1686,900,1273,1292,0.405974379438593,7.65526760753913,3.15086191630554,0.00718765628094013,0.99993823581748,-3.94582863531891
"47","GB55016",7072,3978,4499,6667,3265,4839,1468,4355,3890,2952,5783,2679,0.788395704341166,9.25300917797946,3.13906639049165,0.00735710707576582,0.99993823581748,-4.09552250820465
"48","GB55086",33,12,6,13,11,16,17,59,38,21,71,31,-1.21510375324088,1.76481103661272,-3.14804665664007,0.00722774334483144,0.99993823581748,-4.29663288303802
"49","GB55391",5,6,5,7,4,5,9,10,18,8,19,14,-0.957013733327278,0.402191246305602,-3.60153370799853,0.00295119559947741,0.99993823581748,-4.37171095647062
"50","GB55405",2,3,1,1,6,4,5,13,11,6,8,17,-1.55051556591894,-0.298763348446932,-3.25603033475031,0.00583872946287093,0.99993823581748,-4.42555456335145
