"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"64","GB49934",171,189,198,257,165,211,98,167,193,155,135,160,0.341559015274158,4.49631533892359,2.58879025883948,0.0218888402471754,0.842367641608614,-4.15030576661672
"65","GB49998",51,30,58,71,39,51,43,66,93,64,63,69,-0.468789309091478,2.89476338555587,-2.96002731981084,0.0106477588820844,0.842367641608614,-4.26007769762128
"66","GB50049",5,6,10,12,7,13,16,12,11,16,17,23,-0.879158254045069,0.644444443693408,-3.19338837915873,0.00674216640199343,0.842367641608614,-4.40407482672627
"67","GB50269",129,177,187,204,112,134,101,96,128,124,100,110,0.443077557749676,4.09985304870905,2.61245501836724,0.0209141729681575,0.842367641608614,-4.1889731012387
"68","GB50290",7,5,32,15,29,25,19,35,59,34,17,133,-1.37138970504526,1.70515477167715,-2.82972898616429,0.0137291570156278,0.842367641608614,-4.38055343685277
"69","GB50294",9,5,19,16,18,18,19,17,26,15,19,46,-0.791419696368386,1.1927381046944,-2.63408992652234,0.0200599818925277,0.842367641608614,-4.42895190142112
"70","GB50411",187,119,234,279,307,325,268,333,345,312,233,430,-0.502648925898074,5.14882285103123,-2.61520554436566,0.0208036520946832,0.842367641608614,-4.10292885528265
"71","GB50508",2359,941,3654,2453,6050,2383,2661,3591,5022,7984,4540,7411,-0.964163177586403,8.86217162086525,-2.70503889638641,0.0174898327483112,0.842367641608614,-4.272383894693
"72","GB50996",368,403,503,441,269,301,231,281,254,271,250,331,0.424389390426446,5.38328104410457,2.66555407291407,0.0188778306707168,0.842367641608614,-4.08403461084155
"73","GB51349",9,4,6,12,14,10,8,22,26,19,10,14,-0.871782690144868,0.649234657805469,-2.66323884779814,0.0189624596555397,0.842367641608614,-4.45002171769176
"74","GB51493",9,4,11,9,3,6,8,9,14,11,13,14,-0.817264437157529,0.246864204316711,-3.0337348064067,0.00921827680531568,0.842367641608614,-4.4345667856859
"75","GB51532",20,9,25,46,11,16,41,33,50,29,26,36,-0.919825380058593,1.76834832816367,-3.20455728958195,0.00659612903487344,0.842367641608614,-4.33020284447106
"76","GB52114",111,48,155,203,190,153,126,144,265,182,180,310,-0.587596841712384,4.38484891669065,-2.57201355239323,0.0226062724964342,0.842367641608614,-4.16895225374248
"77","GB52321",125,106,174,209,205,204,169,188,286,193,314,308,-0.564421832688574,4.70389271850749,-3.31847890483993,0.00527570731720884,0.842367641608614,-3.91025660115787
"78","GB53096",53,18,38,36,49,46,26,90,69,80,57,156,-0.980689239946564,2.7770510081,-3.09545728189862,0.00816880117806345,0.842367641608614,-4.25170092136359
"79","GB53149",283,72,210,310,231,217,216,289,481,249,307,381,-0.65788357887305,5.04402704060366,-2.79865023165294,0.0145848515478845,0.842367641608614,-4.04802026153976
"80","GB53192",242,246,373,296,195,232,199,162,200,164,178,211,0.443098302660062,4.85249319913446,2.77809725025986,0.0151792139434617,0.842367641608614,-4.061894762998
"81","GB53209",8,4,18,11,18,19,20,25,20,33,17,29,-1.03011800273153,1.15718628174065,-3.21668158467634,0.00644117227707686,0.842367641608614,-4.37247059019599
"82","GB53345",106,73,136,177,230,128,154,153,334,172,190,422,-0.77342101378223,4.49456844819063,-3.2173363044078,0.00643290874434339,0.842367641608614,-3.97191845689881
"83","GB53354",781,297,491,912,434,400,433,1119,1767,789,1257,1282,-1.02564833425618,6.57231515385649,-3.9301634941025,0.00160089544334563,0.842367641608614,-3.81080358680415
"84","GB53373",437,208,537,766,622,408,401,713,1038,593,615,1021,-0.640569449341498,6.22036367317868,-3.08433095046591,0.00834879941086523,0.842367641608614,-3.9915861214315
"85","GB53374",77,66,84,106,119,181,64,167,213,130,143,232,-0.657067619680841,3.9998630914113,-2.65497731373345,0.0192674602789869,0.842367641608614,-4.19029415589732
"86","GB53463",15,9,27,19,15,16,24,20,28,18,25,37,-0.647791660047454,1.42656312258357,-2.90508591148779,0.011853752038688,0.842367641608614,-4.38657051535412
"87","GB53558",8,2,2,11,8,10,6,10,38,11,12,14,-1.19351325511773,0.254586341477585,-2.61669206129416,0.0207441569956863,0.842367641608614,-4.46650493869849
"88","GB53624",28,32,51,60,49,63,64,93,59,60,49,135,-0.718156442118937,2.92478360832296,-2.89291539670489,0.012138593996878,0.842367641608614,-4.2692599978169
"89","GB53731",28,49,41,64,29,61,18,22,19,17,39,36,0.788165482762259,2.10155832538203,2.82964987346935,0.0137312714498651,0.842367641608614,-4.35173253936127
"90","GB53825",214,135,268,360,219,280,290,261,375,258,278,389,-0.414768866705606,5.14514556776266,-2.85059324479044,0.0131825327569985,0.842367641608614,-4.02315697272632
"91","GB54001",70,55,70,44,35,63,13,16,30,29,23,27,1.19783889335007,2.21431053384047,4.45419013737455,0.00058893011443645,0.842367641608614,-4.15363423249832
"92","GB54164",1469,771,1622,1937,2621,1802,1697,2120,3281,2137,2328,3365,-0.644337314265109,8.01891925867966,-2.92936243213187,0.0113051041168074,0.842367641608614,-4.17513356799929
"93","GB54486",510,305,617,743,875,312,834,1755,1318,1063,776,839,-1.08054748327051,6.60602808955356,-3.95457554521509,0.00152718154958366,0.842367641608614,-3.80972639054866
"94","GB54507",4444,4382,9170,18261,17942,8035,11341,11924,26222,12795,16388,18057,-0.872343062955748,10.5872401485004,-2.67240795539387,0.018629445203421,0.842367641608614,-4.35742447210944
"95","GB54549",28542,8459,23946,28847,22138,18624,13139,33802,64566,78381,76853,76544,-1.30325146549687,12.0152088229013,-3.46493714463613,0.00395969233294747,0.842367641608614,-4.31843957145798
"96","GB54777",198,34,90,97,101,176,124,161,258,184,151,193,-0.849686596437295,4.1324368060009,-2.80986318575005,0.0142702610992728,0.842367641608614,-4.1357471804666
"97","GB54956",393,512,615,627,320,461,286,369,362,341,346,410,0.384436400389537,5.7514887427953,2.58683247849682,0.0219714137965105,0.842367641608614,-4.11866932544338
"98","GB55127",13,32,35,23,18,13,8,10,4,23,8,11,1.06118897559437,0.933056924389071,2.63016383822637,0.0202124384230744,0.842367641608614,-4.44200152070936
"99","GB55388",1813,462,727,896,1714,1122,1101,1278,2662,1940,1719,3040,-0.893573631165308,7.48737273050761,-2.66271858432488,0.0189815276384349,0.842367641608614,-4.20604020714885
"100","GB55947",43,45,71,59,30,42,20,33,28,25,30,45,0.604927362250628,2.30403967190448,3.03143113615462,0.00925993417346378,0.842367641608614,-4.30683990751933
