"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"13","GB41686",150,325,406,381,321,183,396,356,482,207,235,415,-0.493971997272231,5.48055820272085,-3.50534697839836,0.00359156338473086,0.729381173335685,-3.73102878328983
"14","GB42015",45,110,189,143,125,97,122,177,212,95,90,211,-0.62397810974201,4.19533166179328,-3.36268311627462,0.00475757635745413,0.729381173335685,-3.91555397798456
"15","GB42264",317,756,1059,756,546,403,663,1699,1705,427,592,694,-0.697332238936334,6.68873434026699,-3.10984407706191,0.00783315519120892,0.729381173335685,-3.96688286925577
"16","GB42539",7,14,5,9,30,1,25,32,66,10,14,13,-1.69742628653125,0.961684935699619,-3.16780886479956,0.00698737369640734,0.729381173335685,-4.39332706131609
"17","GB42701",9,58,19,22,22,54,5,16,14,4,5,18,1.22030792562919,1.17943573707341,3.01228356193127,0.00949216261824417,0.729381173335685,-4.3959105733177
"18","GB42753",240,811,456,394,508,459,275,314,324,182,260,331,0.486295171348508,5.69320014498281,3.13018450426606,0.00752535769796002,0.729381173335685,-3.87315375798545
"19","GB42907",19,135,81,108,39,24,95,133,89,73,51,119,-0.87467818683609,3.34186071774128,-3.16173448522001,0.0070715643324559,0.729381173335685,-4.12993717093178
"20","GB43278",13,39,13,26,29,25,6,14,11,5,16,5,1.13613148385624,1.07823431509023,3.09224018993231,0.00810961793571485,0.729381173335685,-4.39399923222747
"21","GB43309",23,108,41,62,42,42,28,29,29,22,24,26,0.679634772582795,2.39211936141888,3.02337895922565,0.00928719295721279,0.729381173335685,-4.28469625391531
"22","GB43350",48,183,91,70,104,94,64,62,55,23,38,40,0.792407793607611,3.23117348336927,3.4568481562255,0.00395156987094082,0.729381173335685,-4.09367431562706
"23","GB43745",18,61,28,37,35,49,14,21,20,12,18,18,0.83216284912851,1.87453067895141,3.31167124109644,0.00526115320385805,0.729381173335685,-4.30194120906861
"24","GB43952",143,341,328,326,252,187,284,361,398,150,196,393,-0.386957887862062,5.28167071286286,-3.39192035378534,0.00449105018014011,0.729381173335685,-3.7694607862854
"25","GB44026",1,7,7,4,11,14,10,20,21,11,9,8,-1.24546995639258,0.39852710784487,-3.00944559360463,0.00954530423579514,0.729381173335685,-4.43551216543262
"26","GB44213",191,1273,537,599,571,458,228,656,329,171,188,248,0.703296582616574,5.79052993454883,3.08534224003961,0.00822057039862527,0.729381173335685,-3.89961775756212
"27","GB44535",18,57,37,37,54,41,7,33,14,10,13,24,1.1074014708399,1.83714227172198,3.81412681935504,0.0019594400614987,0.729381173335685,-4.25322865304221
"28","GB44672",47,152,116,143,131,110,127,199,158,76,85,205,-0.510722771894048,4.1480529301666,-3.49916606580577,0.00363554134082956,0.729381173335685,-3.88626906962129
"29","GB44871",791,1777,342,415,712,1951,129,173,166,355,468,193,1.80179970040806,5.9603053823436,3.11171655857442,0.00780430506582104,0.729381173335685,-3.93664758390004
"30","GB45172",154,423,562,419,392,212,353,425,602,249,293,513,-0.453106727695022,5.71571206897388,-3.03481910423032,0.00908044098775479,0.729381173335685,-3.89996741797421
"31","GB45210",71,141,168,120,89,104,145,194,220,83,125,226,-0.759701435116436,4.27949811525115,-4.62025809310071,0.000416950375128431,0.729381173335685,-3.59029856422347
"32","GB45390",11,96,40,46,49,40,12,32,25,9,20,21,0.933956283127521,2.01097126704532,3.34187237294702,0.00495690218565004,0.729381173335685,-4.2844355974801
