"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"27","GB48557",209,315,461,184,236,363,171,99,211,130,469,225,0.468525898910389,4.88936497549236,2.31679230016935,0.0363503941970217,0.999810782319336,-4.24503258779209
"28","GB48816",28,38,28,21,41,45,10,12,19,20,32,25,0.703940662781504,1.66695145710431,2.94814597234177,0.0106803703620705,0.999810782319336,-4.37778960726164
"29","GB48955",9,15,17,7,12,20,7,5,14,3,15,3,0.855559422986708,0.285062174466502,2.28554497803587,0.0385628146485744,0.999810782319336,-4.50866333563897
"30","GB49327",38,81,93,30,72,72,92,55,83,144,123,106,-0.704096067401627,3.28402499375032,-3.28491789890539,0.00548720798659538,0.999810782319336,-4.15626037666048
"31","GB49644",40,57,60,29,42,46,29,37,29,16,34,34,0.576581827101089,2.21489791739928,2.48773844131419,0.0262270203890552,0.999810782319336,-4.39674257769618
"32","GB49886",593,1064,1129,243,902,757,808,1014,631,863,1305,1147,-0.502522913848073,6.69383673798426,-2.45948571547014,0.0276902431086751,0.999810782319336,-4.24511218332308
"33","GB50526",469,872,796,338,791,722,510,608,591,1329,2195,1086,-0.573859108171033,6.60110458020158,-2.50333538603807,0.0254512901994952,0.999810782319336,-4.22878345736503
"34","GB50907",6,5,11,3,8,4,15,10,9,10,13,14,-0.994087532867491,0.144636193600873,-3.21966204326366,0.00624425795550528,0.999810782319336,-4.44778185025098
"35","GB51089",674,464,492,579,331,367,315,100,218,220,394,419,0.873738455794524,5.45893595626134,2.53613108027538,0.0238913724857703,0.999810782319336,-4.17810131988896
"36","GB51248",13,24,23,17,13,15,13,0,6,9,10,10,1.40658616377886,0.38652280880859,2.54053225382409,0.0236891601018138,0.999810782319336,-4.48769613664957
"37","GB51383",241,450,231,41,60,71,15,62,50,79,99,14,1.61729147832821,3.23445140091763,2.60103507846111,0.0210710712544485,0.999810782319336,-4.30570949112388
"38","GB51385",15,16,27,8,16,19,12,10,8,4,19,8,0.71279852005832,0.687622244753796,2.42937877107472,0.0293353087102297,0.999810782319336,-4.48328018166805
"39","GB51965",21,25,37,12,37,27,7,11,19,14,29,22,0.592907242225621,1.35980886593812,2.5222542904531,0.0245398677178104,0.999810782319336,-4.44352577873182
"40","GB52419",109,146,211,60,107,135,91,80,99,58,120,110,0.370960220990561,3.74045766220452,2.21155160856035,0.0443179102007517,0.999810782319336,-4.33741660162572
"41","GB52802",12,30,37,8,35,26,7,11,8,5,35,17,0.857118519626418,1.03439590667503,2.53816958365913,0.0237975076659754,0.999810782319336,-4.4590836559879
"42","GB52885",9,20,29,6,36,37,3,8,3,4,17,14,1.42026321385183,0.571199861063891,3.38212864259278,0.00452623822241242,0.999810782319336,-4.41855772490801
"43","GB53113",755,845,679,1102,794,881,626,337,481,382,782,422,0.782592601068554,6.34339746900622,2.5279917293748,0.0242697178006693,0.999810782319336,-4.20892011395573
"44","GB53624",28,51,60,12,81,79,32,64,93,52,98,99,-0.633052291586485,2.80708030523867,-2.24170898610377,0.0418812185123538,0.999810782319336,-4.39794018104498
"45","GB54486",510,617,743,167,482,397,305,834,1755,813,745,913,-0.907527434368803,6.24267358855549,-2.85802361594258,0.0127536028678239,0.999810782319336,-4.11333103975034
"46","GB54858",9,16,22,5,15,13,2,5,8,4,10,17,0.832483499047747,0.241739104600516,2.49827036345443,0.0257007592834651,0.999810782319336,-4.49449586634038
"47","GB55170",38,30,19,14,30,102,58,106,59,182,71,70,-1.38127242131647,2.72083525619362,-2.96275014102972,0.0103772111831032,0.999810782319336,-4.28771745445116
"48","GB55334",2,14,17,8,9,25,3,3,2,1,3,14,1.48600794794994,-0.342352061709998,2.67511250011696,0.0182447326881865,0.999810782319336,-4.49529426497439
"49","GB55612",63,93,91,25,89,51,83,49,94,76,157,77,-0.459433447028128,3.22415627778646,-2.23756920216882,0.0422081024389347,0.999810782319336,-4.36992775946724
"50","GB55813",91,852,280,95,333,247,2,109,101,20,133,147,2.17993735613879,3.7555058806805,2.93601576171045,0.0109387959051629,0.999810782319336,-4.21047753363626
