"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"19","GB47629",250,482,625,610,455,557,506,633,377,382,765,504,-0.485299564032408,6.17999678673665,-4.29993744444698,0.000776594094213374,0.288789262819004,-0.334939361470092
"20","GB47944",180,585,523,436,574,271,150,268,55,119,158,156,1.11098447575418,5.09400813216107,5.09702437638067,0.000176290709276731,0.288789262819004,0.903227083924225
"21","GB47948",398,1504,1889,932,1461,520,318,650,196,275,695,243,1.05843173265006,6.41863321905383,4.0994903104952,0.00114013468919603,0.288789262819004,-0.67855882264632
"22","GB48098",7,13,37,14,25,14,5,8,2,3,3,2,1.71880509363621,0.239522355471481,5.12084101526396,0.000168855789258246,0.288789262819004,-1.06725867995773
"23","GB48167",693,2554,2618,1435,2723,1315,750,1075,343,503,861,511,1.04670179938948,7.24439307313423,5.3503838739677,0.000111902554749647,0.288789262819004,1.1434230568875
"24","GB48228",16178,55461,20982,23618,62431,31888,6180,2757,6999,7326,11125,2644,2.09474271849677,10.8959196777074,4.29433831997404,0.000784926728665053,0.288789262819004,-0.898924954929902
"25","GB48539",396,902,1056,761,734,577,373,473,182,216,573,189,0.849289442780882,6.08189346292373,4.48426479713541,0.000547526561111847,0.288789262819004,-0.0412388091810998
"26","GB49242",253,491,705,608,496,520,502,757,350,377,602,639,-0.467032571868834,6.20958637445975,-4.22050169613305,0.000903815598972619,0.288789262819004,-0.466038808202621
"27","GB49268",311,789,701,531,693,427,317,425,165,168,350,138,0.82547139203666,5.73011653407601,4.01512479403245,0.00134159742886635,0.288789262819004,-0.803353798907898
"28","GB49555",69,132,137,136,138,138,113,186,96,101,210,130,-0.544520789928894,4.22959151971881,-4.15949249200444,0.0010159296630281,0.288789262819004,-0.593919736924525
"29","GB49870",187,345,598,328,433,260,151,184,98,132,244,210,0.651736235110747,5.10308462636519,4.05442588307944,0.00124356898844011,0.288789262819004,-0.738178517699038
"30","GB50831",77,106,177,157,113,93,107,186,93,115,189,138,-0.608522093480891,4.19288735268436,-4.00756592363283,0.00136133950688551,0.288789262819004,-0.842414833088989
"31","GB50958",1001,2152,3570,2233,2504,1836,1086,1232,709,830,1585,968,0.611204290015629,7.74677407682075,4.81271163987872,0.00029654327988538,0.288789262819004,0.310430011482744
"32","GB50974",967,2764,3518,1812,2600,1675,1166,1290,705,708,1419,789,0.685986824449971,7.69574813776796,4.39204124811498,0.000651855952130153,0.288789262819004,-0.302287467820959
"33","GB51030",29,54,87,72,54,68,58,111,46,43,92,71,-0.603796287142824,3.19021727990536,-4.16767951607919,0.00100009188034966,0.288789262819004,-0.738721072611536
"34","GB51271",83,164,170,172,152,150,125,223,124,134,199,184,-0.545561974620221,4.48672484329468,-4.00379440573176,0.00137130065182274,0.288789262819004,-0.831722686077555
"35","GB51652",522,3180,5147,1469,3499,2153,469,919,293,541,723,472,1.5601458382901,7.29425469683997,5.57708044099596,7.50627717861713e-05,0.288789262819004,1.4330993249076
