"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"11","GB43006",1290,735,925,1292,1815,2255,6118,5270,1134,6546,1977,2392,-1.39809726743175,8.10237018551298,-4.32725940785721,0.000742171226750532,0.876827812672625,-3.9883441507501
"12","GB43285",343,283,702,320,433,471,408,208,142,265,196,330,0.661091632420469,5.40343395418738,3.4136434702386,0.0043566574246739,0.876827812672625,-3.91415817307695
"13","GB43362",112,74,124,110,211,443,795,317,163,416,153,365,-1.12142861362498,4.86262969753232,-3.70328522428065,0.0024712846443247,0.876827812672625,-3.86320568270789
"14","GB43573",8520,4658,5341,5856,8112,14273,18170,14286,5827,13682,7398,14097,-0.73902828923074,10.2533901468222,-3.6690554280197,0.0026420386295632,0.876827812672625,-4.23223387861685
"15","GB43578",8,8,7,3,7,8,19,11,8,16,15,13,-1.01514801634851,0.400779562562949,-3.48016870368946,0.0038236769641045,0.876827812672625,-4.40804113135517
"16","GB43937",44,26,28,60,31,38,13,14,8,12,16,31,1.22143641889271,1.65343836149913,3.86183142455563,0.00181518103562234,0.876827812672625,-4.27795104716904
"17","GB44248",3,3,3,0,5,15,18,17,7,11,5,11,-1.73222094354034,-0.261349969184827,-3.31939615752147,0.00524215504403266,0.876827812672625,-4.4417897132247
"18","GB45832",14,13,14,9,11,18,7,4,4,4,8,12,0.984961097315564,0.322975177013335,3.39321138637824,0.00453490860732071,0.876827812672625,-4.41701201092515
"19","GB45969",49,48,49,75,24,64,116,167,58,107,152,130,-1.31328497285924,3.34585212625447,-4.2604465592531,0.000842802136239037,0.876827812672625,-3.98964750063906
"20","GB46095",65,51,51,37,68,133,239,141,60,206,82,128,-1.10706197570511,3.59160366561675,-4.62250221881986,0.000425584931707485,0.876827812672625,-3.88501543348927
"21","GB47399",102,68,41,36,78,142,236,261,95,267,160,95,-1.31177326335755,3.87739882752972,-3.67717668820305,0.00260047305281461,0.876827812672625,-4.00243348677566
"22","GB47415",566,430,616,516,524,840,1254,888,467,890,606,810,-0.544890083001056,6.48872188515855,-4.00340794384197,0.00138008570378876,0.876827812672625,-3.85764043572413
"23","GB47520",2972,2352,3118,2634,6205,6366,13507,7186,2939,6855,3106,7982,-0.806649248050158,9.29829824492259,-3.30424271115255,0.00540050661133914,0.876827812672625,-4.22648966887294
